scheme_code,last_nav_date,status,mapped_successor
146320,2022-04-11,unresolved discontinuation,
146327,2022-07-26,unresolved discontinuation,
146331,2022-06-15,unresolved discontinuation,
146367,2023-05-23,unresolved discontinuation,
146375,2022-06-01,unresolved discontinuation,
146386,2022-04-19,unresolved discontinuation,
146396,2022-04-19,unresolved discontinuation,
146402,2022-03-13,unresolved discontinuation,
146424,2022-05-10,unresolved discontinuation,
146428,2022-04-11,unresolved discontinuation,
146462,2022-04-21,unresolved discontinuation,
146468,2022-04-11,unresolved discontinuation,
146473,2022-05-02,unresolved discontinuation,
146475,2022-05-10,unresolved discontinuation,
146487,2022-05-04,unresolved discontinuation,
146491,2022-04-20,unresolved discontinuation,
146495,2023-05-23,unresolved discontinuation,
146498,2022-04-11,unresolved discontinuation,
146505,2022-05-06,unresolved discontinuation,
146517,2023-07-27,unresolved discontinuation,
146538,2022-05-10,unresolved discontinuation,
146547,2022-09-12,unresolved discontinuation,
146566,2022-04-11,unresolved discontinuation,
146592,2023-06-06,unresolved discontinuation,
146596,2022-06-15,unresolved discontinuation,
146605,2022-06-16,unresolved discontinuation,
146608,2022-05-10,unresolved discontinuation,
146626,2022-04-19,unresolved discontinuation,
146631,2022-04-11,unresolved discontinuation,
146640,2022-04-20,unresolved discontinuation,
146650,2022-04-11,unresolved discontinuation,
146656,2023-06-22,unresolved discontinuation,
146670,2022-06-01,unresolved discontinuation,
146672,2022-04-29,unresolved discontinuation,
146689,2022-05-17,unresolved discontinuation,
146704,2022-09-12,unresolved discontinuation,
146706,2022-05-04,unresolved discontinuation,
146733,2022-04-28,unresolved discontinuation,
146741,2022-05-09,unresolved discontinuation,
146765,2023-07-04,unresolved discontinuation,
146777,2022-04-18,unresolved discontinuation,
146780,2022-04-20,unresolved discontinuation,
146787,2022-04-12,unresolved discontinuation,
146834,2022-06-21,unresolved discontinuation,
146847,2022-06-15,unresolved discontinuation,
146851,2022-05-23,unresolved discontinuation,
146863,2022-06-07,unresolved discontinuation,
146872,2022-05-30,unresolved discontinuation,
146878,2023-07-04,unresolved discontinuation,
146886,2022-04-12,unresolved discontinuation,
146893,2022-04-18,unresolved discontinuation,
146898,2022-04-18,unresolved discontinuation,
146909,2022-04-19,unresolved discontinuation,
146945,2022-04-12,unresolved discontinuation,
146987,2022-06-08,unresolved discontinuation,
147021,2022-06-23,unresolved discontinuation,
147071,2022-06-07,unresolved discontinuation,
147104,2022-07-06,unresolved discontinuation,
147125,2022-03-13,unresolved discontinuation,
147131,2021-12-30,unresolved discontinuation,
147135,2022-07-14,unresolved discontinuation,
147152,2022-06-15,unresolved discontinuation,
147165,2022-06-07,unresolved discontinuation,
147210,2022-05-09,unresolved discontinuation,
147237,2022-05-11,unresolved discontinuation,
147242,2023-05-02,unresolved discontinuation,
147253,2022-05-23,unresolved discontinuation,
147255,2022-06-07,unresolved discontinuation,
147318,2022-08-10,unresolved discontinuation,
147322,2022-06-07,unresolved discontinuation,
147333,2022-08-24,unresolved discontinuation,
147353,2022-06-30,unresolved discontinuation,
147355,2022-08-02,unresolved discontinuation,
147359,2023-06-05,unresolved discontinuation,
147363,2022-07-19,unresolved discontinuation,
147385,2022-02-09,unresolved discontinuation,
147389,2022-02-09,unresolved discontinuation,
147396,2022-02-09,unresolved discontinuation,
147411,2022-07-19,unresolved discontinuation,
147422,2022-09-14,unresolved discontinuation,
147440,2021-12-31,unresolved discontinuation,
147463,2022-08-01,unresolved discontinuation,
147467,2022-09-21,unresolved discontinuation,
147486,2022-09-28,unresolved discontinuation,
147509,2022-10-06,unresolved discontinuation,
147520,2022-08-03,unresolved discontinuation,
147560,2023-08-23,unresolved discontinuation,
147582,2022-09-01,unresolved discontinuation,
147587,2021-12-31,unresolved discontinuation,
147593,2022-12-18,unresolved discontinuation,
147612,2022-09-08,unresolved discontinuation,
147627,2022-09-15,unresolved discontinuation,
147631,2023-05-24,unresolved discontinuation,
147636,2024-06-14,unresolved discontinuation,
147641,2022-09-28,unresolved discontinuation,
147644,2023-06-14,unresolved discontinuation,
147651,2022-03-10,unresolved discontinuation,
147672,2022-10-27,unresolved discontinuation,
147675,2022-03-10,unresolved discontinuation,
147689,2025-03-21,unresolved discontinuation,
147691,2025-03-21,unresolved discontinuation,
147697,2025-03-21,unresolved discontinuation,
147720,2022-10-27,unresolved discontinuation,
147744,2022-11-04,unresolved discontinuation,
147754,2022-11-14,unresolved discontinuation,
147764,2022-11-23,unresolved discontinuation,
147777,2022-12-01,unresolved discontinuation,
147778,2021-12-30,unresolved discontinuation,
147783,2022-12-20,unresolved discontinuation,
147792,2022-12-19,unresolved discontinuation,
147802,2022-09-30,unresolved discontinuation,
147808,2022-09-30,unresolved discontinuation,
147816,2022-09-30,unresolved discontinuation,
147851,2023-04-18,unresolved discontinuation,
147864,2025-04-01,unresolved discontinuation,
147873,2023-04-25,unresolved discontinuation,
147927,2021-12-31,unresolved discontinuation,
147937,2021-11-29,unresolved discontinuation,
147939,2021-11-29,unresolved discontinuation,
147942,2023-07-19,unresolved discontinuation,
147958,2023-09-11,unresolved discontinuation,
147966,2023-09-11,unresolved discontinuation,
147988,2023-09-11,unresolved discontinuation,
147999,2023-09-11,unresolved discontinuation,
148015,2023-09-11,unresolved discontinuation,
148026,2021-12-31,unresolved discontinuation,
148053,2026-07-10,NAV data gap,
148056,2023-04-25,unresolved discontinuation,
148080,2022-01-27,unresolved discontinuation,
148086,2022-01-27,unresolved discontinuation,
148101,2022-01-27,unresolved discontinuation,
148106,2022-01-27,unresolved discontinuation,
148118,2022-01-27,unresolved discontinuation,
148136,2022-01-27,unresolved discontinuation,
148147,2022-01-31,unresolved discontinuation,
148172,2023-07-27,unresolved discontinuation,
148176,2023-05-22,unresolved discontinuation,
148178,2023-08-07,unresolved discontinuation,
148193,2023-05-19,unresolved discontinuation,
148197,2023-04-25,unresolved discontinuation,
148207,2022-01-21,unresolved discontinuation,
148242,2026-07-10,NAV data gap,
148257,2026-07-10,NAV data gap,
148261,2026-07-10,NAV data gap,
148265,2026-07-10,NAV data gap,
148273,2026-07-10,NAV data gap,
148274,2026-07-10,NAV data gap,
148285,2026-07-10,NAV data gap,
148296,2026-07-10,NAV data gap,
148304,2026-07-10,NAV data gap,
148308,2026-07-10,NAV data gap,
148313,2026-07-10,NAV data gap,
148325,2022-03-13,unresolved discontinuation,
148333,2026-07-10,NAV data gap,
148360,2022-11-24,unresolved discontinuation,
148363,2022-11-24,unresolved discontinuation,
148369,2023-05-31,unresolved discontinuation,
148385,2023-05-30,unresolved discontinuation,
148397,2026-06-30,NAV data gap,
148398,2026-06-30,NAV data gap,
148399,2026-06-30,NAV data gap,
148415,2025-03-27,unresolved discontinuation,
148446,2025-04-16,unresolved discontinuation,
148454,2025-07-18,unresolved discontinuation,
148457,2026-07-10,NAV data gap,
148479,2025-01-29,unresolved discontinuation,
148492,2022-11-25,unresolved discontinuation,
148524,2021-12-30,unresolved discontinuation,
148628,2025-10-16,unresolved discontinuation,
148656,2026-02-10,unresolved discontinuation,
148737,2026-03-25,unresolved discontinuation,
148795,2026-04-30,unresolved discontinuation,
148827,2025-04-30,unresolved discontinuation,
148846,2026-04-29,unresolved discontinuation,
148897,2022-03-10,unresolved discontinuation,
148941,2025-09-30,unresolved discontinuation,
149082,2025-06-25,unresolved discontinuation,
149111,2025-07-31,unresolved discontinuation,
149139,2026-05-14,unresolved discontinuation,
149154,2022-11-25,unresolved discontinuation,
149243,2026-04-30,unresolved discontinuation,
149329,2026-07-10,NAV data gap,
149349,2024-01-12,unresolved discontinuation,
149376,2022-03-14,unresolved discontinuation,
149420,2025-04-30,unresolved discontinuation,
149753,2025-04-30,unresolved discontinuation,
149806,2023-09-29,unresolved discontinuation,
149934,2025-05-19,unresolved discontinuation,
149950,2025-10-31,unresolved discontinuation,
150241,2024-09-10,unresolved discontinuation,
150294,2024-09-10,unresolved discontinuation,
150320,2022-07-08,unresolved discontinuation,
150357,2025-04-30,unresolved discontinuation,
150362,2022-10-06,unresolved discontinuation,
150379,2026-04-09,unresolved discontinuation,
150395,2025-09-25,unresolved discontinuation,
150431,2022-10-19,unresolved discontinuation,
150449,2023-03-09,unresolved discontinuation,
150462,2022-12-28,unresolved discontinuation,
150562,2026-05-29,unresolved discontinuation,
150576,2023-08-29,unresolved discontinuation,
150601,2022-11-29,unresolved discontinuation,
150602,2025-11-10,unresolved discontinuation,
150614,2023-09-07,unresolved discontinuation,
150649,2026-04-15,unresolved discontinuation,
150663,2025-09-30,unresolved discontinuation,
150666,2022-12-21,unresolved discontinuation,
150692,2026-02-13,unresolved discontinuation,
150698,2026-04-30,unresolved discontinuation,
150746,2026-04-30,unresolved discontinuation,
150773,2023-01-03,unresolved discontinuation,
150783,2023-03-20,unresolved discontinuation,
150788,2026-04-30,unresolved discontinuation,
150809,2023-11-02,unresolved discontinuation,
150833,2026-04-27,unresolved discontinuation,
150875,2023-02-08,unresolved discontinuation,
150883,2023-11-15,unresolved discontinuation,
150885,2026-05-29,unresolved discontinuation,
150908,2023-03-13,unresolved discontinuation,
150919,2026-04-13,unresolved discontinuation,
150932,2026-04-13,unresolved discontinuation,
150938,2026-04-30,unresolved discontinuation,
150947,2023-03-13,unresolved discontinuation,
150950,2026-04-16,unresolved discontinuation,
150955,2023-03-13,unresolved discontinuation,
150963,2026-04-15,unresolved discontinuation,
150984,2026-04-16,unresolved discontinuation,
151174,2026-04-15,unresolved discontinuation,
151186,2026-04-22,unresolved discontinuation,
151225,2026-04-13,unresolved discontinuation,
151243,2023-05-31,unresolved discontinuation,
151247,2023-03-23,unresolved discontinuation,
151252,2026-05-29,unresolved discontinuation,
151266,2023-07-03,unresolved discontinuation,
151269,2024-01-10,unresolved discontinuation,
151316,2026-05-04,unresolved discontinuation,
151341,2026-04-15,unresolved discontinuation,
151351,2026-05-29,unresolved discontinuation,
151360,2023-04-25,unresolved discontinuation,
151364,2026-04-30,unresolved discontinuation,
151396,2024-04-02,unresolved discontinuation,
151403,2024-02-14,unresolved discontinuation,
151421,2023-05-15,unresolved discontinuation,
151451,2026-05-05,unresolved discontinuation,
151501,2026-04-16,unresolved discontinuation,
151510,2023-05-31,unresolved discontinuation,
151519,2023-08-29,unresolved discontinuation,
151551,2023-09-01,unresolved discontinuation,
151552,2023-06-13,unresolved discontinuation,
151559,2026-04-16,unresolved discontinuation,
151608,2023-11-21,unresolved discontinuation,
151613,2024-03-20,unresolved discontinuation,
151622,2026-04-15,unresolved discontinuation,
151625,2023-06-14,unresolved discontinuation,
151638,2023-06-13,unresolved discontinuation,
151639,2026-06-01,unresolved discontinuation,
151645,2023-09-21,unresolved discontinuation,
151674,2026-04-15,unresolved discontinuation,
151677,2023-06-22,unresolved discontinuation,
151681,2026-04-27,unresolved discontinuation,
151686,2026-05-04,unresolved discontinuation,
151700,2026-04-09,unresolved discontinuation,
151735,2024-09-10,unresolved discontinuation,
151743,2023-09-14,unresolved discontinuation,
151875,2024-11-14,unresolved discontinuation,
152114,2026-07-10,NAV data gap,
152175,2024-02-01,unresolved discontinuation,
152224,2024-03-12,unresolved discontinuation,
152227,2024-03-13,unresolved discontinuation,
152249,2024-03-13,unresolved discontinuation,
152250,2024-03-12,unresolved discontinuation,
152259,2024-03-13,unresolved discontinuation,
152279,2024-06-18,unresolved discontinuation,
152283,2024-03-21,unresolved discontinuation,
152303,2024-03-27,unresolved discontinuation,
152332,2024-04-18,unresolved discontinuation,
152342,2024-04-22,unresolved discontinuation,
152375,2024-04-23,unresolved discontinuation,
152400,2024-05-06,unresolved discontinuation,
152451,2024-05-16,unresolved discontinuation,
152495,2024-06-11,unresolved discontinuation,
152515,2026-02-04,unresolved discontinuation,
152545,2024-06-19,unresolved discontinuation,
152549,2025-06-30,unresolved discontinuation,
152898,2026-07-10,NAV data gap,
152958,2025-12-31,unresolved discontinuation,
153163,2025-03-05,unresolved discontinuation,
153236,2025-11-14,unresolved discontinuation,
153316,2025-05-15,unresolved discontinuation,
