date,strategy,category,scheme_code,scheme_name,prediction_score,quintile,target_weight,opening_drifted_weight,closing_weight,nav_start,nav_end,fund_return,data_quality_flag
2024-07-31,HistGBM,Unknown,118615,Unknown,0,5,0.0045045045045045045,0.0,0.0045045045045045045,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,149264,Unknown,0,5,0.0045045045045045045,0.0,0.0045045045045045045,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,141642,Unknown,0,5,0.0045045045045045045,0.0,0.0045818874932798985,1,1.0171790235081375,0.017179023508137388,OK
2024-07-31,HistGBM,Unknown,118968,Unknown,0,5,0.0045045045045045045,0.0,0.0045045045045045045,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,151713,Unknown,0,5,0.0045045045045045045,0.0,0.0045045045045045045,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,120333,Unknown,0,5,0.0045045045045045045,0.0,0.0045045045045045045,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,144754,Unknown,0,5,0.005405405405405406,0.0,0.005437466684008453,1,1.0059313365415639,0.005931336541563934,OK
2024-07-31,HistGBM,Unknown,148529,Unknown,0,5,0.005405405405405406,0.0,0.005405405405405406,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,143494,Unknown,0,5,0.005405405405405406,0.0,0.005405405405405406,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,146075,Unknown,0,5,0.005405405405405406,0.0,0.005405405405405406,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,119501,Unknown,0,5,0.005405405405405406,0.0,0.005405405405405406,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,150659,Unknown,0,5,0.006756756756756757,0.0,0.006756756756756757,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,149185,Unknown,0,5,0.006756756756756757,0.0,0.006756756756756757,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,149383,Unknown,0,5,0.006756756756756757,0.0,0.00697835133632799,1,1.0327959977765424,0.03279599777654252,OK
2024-07-31,HistGBM,Unknown,151290,Unknown,0,5,0.006756756756756757,0.0,0.006756756756756757,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,142110,Unknown,0,5,0.0045045045045045045,0.0,0.0045045045045045045,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,150815,Unknown,0,5,0.0045045045045045045,0.0,0.0045045045045045045,1,1.0,0.0,Missing
