strategy,model,freq,cost_bps,gross_cumulative_return,net_cumulative_return,cumulative_one_way_turnover,average_monthly_one_way_turnover,total_cost_paid_as_pct_of_initial_portfolio_value,gross_to_net_cumulative_return_drag,maximum_drawdown,total_suspension_events,number_of_unique_schemes_suspended,maximum_concurrent_suspended_positions,average_suspension_age_days,maximum_suspension_age_days,average_suspended_weight,maximum_suspended_weight
Benchmark_1m_50bps,bmk,1m,50,0.11513796437640744,0.10762292893181402,0.996040090527936,0.04330609089251895,0.005090578036207568,0.007515035444593421,0.059465082537986214,83,83,89,148.65485047213383,638,0.030789179093167793,0.07721151619279924
Benchmark_1m_100bps,bmk,1m,100,0.11513796437640744,0.10013116837828528,0.996040090527936,0.04330609089251895,0.010150270118419678,0.015006795998122158,0.06002663322399382,83,83,89,148.65485047213383,638,0.030789179093167793,0.07721151619279924
Benchmark_6m_Avg_0bps,bmk,6m,0,0.10846863815788343,0.10846863815788343,1.325716000715967,0.05763982611808552,0.0,0.0,0.058179302400070076,83,83,89,148.65485047213383,638,0.07262500038792602,0.1703046564117858
Benchmark_6m_Avg_25bps,bmk,6m,25,0.10846863815788343,0.10474746336236773,1.325716000715967,0.05763982611808552,0.0034347335660194936,0.0037211747955157026,0.05835936472918313,83,83,89,148.65485047213383,638,0.07262500038792602,0.1703046564117858
Benchmark_6m_Avg_50bps,bmk,6m,50,0.10846863815788343,0.10103197637491101,1.325716000715967,0.05763982611808552,0.006856249228269667,0.00743666178297242,0.05853940080719078,83,83,89,148.65485047213383,638,0.07262500038792602,0.1703046564117858
Benchmark_6m_Avg_100bps,bmk,6m,100,0.10846863815788343,0.09361803871025387,1.325716000715967,0.05763982611808552,0.013659706465659517,0.014850599447629564,0.05889939422089985,83,83,89,148.65485047213383,638,0.07262500038792602,0.1703046564117858
HistGBM_1m_Exclusion,hgb,1m,50,0.12602909768339576,0.07634177949206133,8.5690526753109,0.372567507622213,0.04380574830388093,0.04968731819133443,0.07076976104322019,0,0,1,0.0,0,0.0008091487725323736,0.008809972302722945
HistGBM_1m_CatWorst,hgb,1m,50,0.12363057456893012,0.07404739161204943,8.569573931334888,0.3725901709276038,0.04376149137346506,0.04958318295688069,0.07076976104322019,0,0,1,0.0,0,0.0008091487725323737,0.008809972302722945
HistGBM_1m_Cat10th,hgb,1m,50,0.1243868595903952,0.07477084516038501,8.569405210665993,0.3725828352463475,0.043775704826271515,0.04961601443001018,0.07076976104322019,0,0,1,0.0,0,0.0008091487725323737,0.008809972302722945
HistGBM_1m_-20pct,hgb,1m,50,0.12274785253388276,0.07320304270508116,8.569753774947905,0.3725979902151263,0.04374760391891771,0.049544809828801606,0.07076976104322019,0,0,1,0.0,0,0.0008091487725323736,0.008809972302722945
HistGBM_1m_-50pct,hgb,1m,50,0.11783565858064837,0.06850388912526251,8.570868562753633,0.37264645925015794,0.04366071299785934,0.049331769455385865,0.07076976104322019,0,0,1,0.0,0,0.0008091487725323736,0.008809972302722945
HistGBM_1m_-100pct,hgb,1m,50,0.1096744352322141,0.060695900143793224,8.572879843430949,0.3727339062361282,0.043516668535500576,0.04897853508842087,0.07076976104322019,0,0,1,0.0,0,0.0008091487725323737,0.008809972302722945
