normalized_underlying_name,direct_scheme_code,regular_scheme_code,mapping_status,direct_scheme_codes,regular_scheme_codes
india technology fund,,,ambiguous,"[118537, 152863]",[152862]
india ultra short duration fund,,,ambiguous,"[120541, 152825]",[114359]
inflation indexed bond fund,,,ambiguous,"[130555, 132783]","[130553, 132784]"
infrastructure fund,,,ambiguous,"[119514, 118469, 118979, 120621, 120351, 119700, 119243, 120728, 153484, 153983]","[114476, 107763, 106096, 101766, 153482, 153985]"
innovation fund,,,ambiguous,"[148634, 151580, 152033, 152087, 152607, 153620]","[148631, 152034, 152086, 152606, 153619]"
l&t banking and psu debt fund,,,ambiguous,[119795],"[118078, 118074]"
l&t flexi bond fund,,,ambiguous,[119428],"[118053, 118051]"
large & mid cap fund,,,ambiguous,"[119436, 118419, 119218, 120596, 119202, 120665, 133710, 145110]","[100033, 108596, 103819, 101824, 100664, 133711, 145112]"
large & midcap fund,,,ambiguous,"[120158, 118834, 119721]","[103234, 112932, 103024]"
large and midcap fund,,,ambiguous,"[119566, 147704]","[105001, 147701]"
large cap fund,,,ambiguous,"[119528, 120465, 118479, 119250, 119018, 120152, 120267, 118825, 118633, 118632, 119598, 119160, 120656]","[112277, 108799, 101635, 102000, 106871, 103504, 100475, 100651]"
liquid fund,,,ambiguous,"[118857, 119568, 120389, 118364, 119091, 120197, 119766, 120249, 118859, 118701, 119800, 119861, 120304, 145834]","[107648, 100042, 112210, 112713, 108690, 101750, 100835, 101185, 111646, 100837, 105280, 102672, 102012, 145946]"
long duration fund,,,ambiguous,"[150484, 151179, 151214, 151523, 152520, 152491, 153105]","[150482, 151178, 151212, 151527, 152518, 152489, 153107]"
long term advantage fund series iii,,,ambiguous,"[136007, 135962]","[136004, 135964]"
long term advantage fund series iv,,,ambiguous,"[140046, 140487]","[140045, 140488]"
long term advantage fund series v,,,ambiguous,"[140454, 142138]","[140455, 142139]"
long term advantage fund series vi,,,ambiguous,"[141892, 143178]","[141893, 143176]"
low duration fund,,,ambiguous,"[119523, 118371, 118942, 120315, 118840, 118702, 118709, 119812, 119680, 119683, 120735, 133925, 133810]","[103192, 108632, 101830, 107705, 111748, 111743, 106212, 105563, 118329, 105564, 102544, 133926, 133805, 133802]"
manufacturing fund,,,ambiguous,"[152600, 152920, 152760]","[152602, 152922]"
medium duration fund,,,ambiguous,"[118401, 119824, 130050, 134503]","[108728, 102053, 134499]"
medium duration fund formerly known as sundaram medium term bond fund,,,ambiguous,"[119673, 119675]","[100603, 100604]"
medium term fund,,,ambiguous,"[119127, 128006]",[101703]
medium to long duration fund,,,ambiguous,"[118394, 120279, 118679, 118687, 119714, 120689]","[108765, 100315, 100639, 100741]"
mid cap fund,,,ambiguous,"[118989, 118665, 118668, 119581, 119182, 119178, 120726, 152002]","[101539, 102328, 102329, 152001]"
midcap fund,,,ambiguous,"[119620, 120505, 119071, 120381, 119775, 119716, 127042, 147445, 150404]","[114564, 104481, 104908, 102941, 127039, 147479, 150402]"
mip,,,ambiguous,"[120704, 120668]",[100970]
mnc fund,,,ambiguous,"[119646, 119711, 120682, 147346, 151458, 152910, 153693]","[100064, 103034, 100740, 152913, 153691]"
money fund,,,ambiguous,[119686],"[103397, 100618]"
money market fund,,,ambiguous,"[118384, 119092, 120211, 118715, 118719, 119424, 119746, 145050, 147567, 149112, 150392]","[102153, 108756, 101847, 145042, 147568, 149115, 150393]"
