normalized_underlying_name,direct_scheme_code,regular_scheme_code,mapping_status,direct_scheme_codes,regular_scheme_codes
baroda bnp paribas dynamic bond fund,150180.0,150173.0,high_confidence_candidate,,
baroda bnp paribas elss tax saver fund,150159.0,150156.0,high_confidence_candidate,,
baroda bnp paribas energy opportunities fund,153225.0,153226.0,high_confidence_candidate,,
baroda bnp paribas equity savings fund,147496.0,147494.0,high_confidence_candidate,,
baroda bnp paribas fixed maturity series p,146386.0,146384.0,high_confidence_candidate,,
baroda bnp paribas flexi cap fund,150387.0,150385.0,high_confidence_candidate,,
baroda bnp paribas floater fund,151735.0,151734.0,high_confidence_candidate,,
baroda bnp paribas focused fund,150264.0,150263.0,high_confidence_candidate,,
baroda bnp paribas gilt fund,119341.0,101187.0,high_confidence_candidate,,
baroda bnp paribas gold etf fund of funds,153795.0,153794.0,high_confidence_candidate,,
baroda bnp paribas health and wellness fund,153604.0,153602.0,high_confidence_candidate,,
baroda bnp paribas income plus arbitrage active fof,153536.0,153541.0,high_confidence_candidate,,
baroda bnp paribas india consumption fund,150266.0,150268.0,high_confidence_candidate,,
baroda bnp paribas innovation fund,152470.0,152472.0,high_confidence_candidate,,
baroda bnp paribas large and mid cap fund,148474.0,148471.0,high_confidence_candidate,,
baroda bnp paribas large cap fund,150187.0,150185.0,high_confidence_candidate,,
baroda bnp paribas liquid fund,119415.0,111704.0,high_confidence_candidate,,
baroda bnp paribas low duration fund,150169.0,150165.0,high_confidence_candidate,,
baroda bnp paribas manufacturing fund,152697.0,152696.0,high_confidence_candidate,,
baroda bnp paribas medium duration fund,150241.0,150240.0,high_confidence_candidate,,
baroda bnp paribas medium duration fund segregated portfolio 1,150294.0,150291.0,high_confidence_candidate,,
baroda bnp paribas mid cap fund,150212.0,150209.0,high_confidence_candidate,,
baroda bnp paribas money market fund,147377.0,147382.0,high_confidence_candidate,,
baroda bnp paribas multi asset active fof,153552.0,153548.0,high_confidence_candidate,,
baroda bnp paribas multi asset fund,150865.0,150863.0,high_confidence_candidate,,
baroda bnp paribas multi cap fund,119354.0,102020.0,high_confidence_candidate,,
baroda bnp paribas nifty 50 index fund,152329.0,152331.0,high_confidence_candidate,,
