scheme_code,latest_name,name_prefix
151640,SBI Fixed Maturity Plan (FMP)-Series 81 (1157 Days) Direct Plan- Income Distribution Cum Capital Withdrawal Payout,sbi fixed maturity plan (fmp)-series 81 (1157 days) direct p
151641,SBI Fixed Maturity Plan (FMP)-Series 81 (1157 Days) Regular Plan- Growth,sbi fixed maturity plan (fmp)-series 81 (1157 days) regular
151642,SBI Fixed Maturity Plan (FMP)-Series 81 (1157 Days) Regular Plan- Income Distribution Cum Capital Withdrawal Payout,sbi fixed maturity plan (fmp)-series 81 (1157 days) regular
151643,SBI Fixed Maturity Plan (FMP)-Series 82 (91 Days) Direct Plan- Income Distribution Cum Capital Withdrawal Payout,sbi fixed maturity plan (fmp)-series 82 (91 days) direct pla
151644,SBI Fixed Maturity Plan (FMP)-Series 82 (91 Days) Regular Plan- Growth,sbi fixed maturity plan (fmp)-series 82 (91 days) regular pl
151645,SBI Fixed Maturity Plan (FMP)-Series 82 (91 Days) Direct Plan- Growth,sbi fixed maturity plan (fmp)-series 82 (91 days) direct pla
151646,SBI Fixed Maturity Plan (FMP)-Series 82 (91 Days) Regular Plan- Income Distribution Cum Capital Withdrawal Payout,sbi fixed maturity plan (fmp)-series 82 (91 days) regular pl
151700,Aditya Birla Sun Life Fixed Term Plan - Series UJ (1110 days) - Direct Plan - Growth Option,aditya birla sun life fixed term plan - series uj (1110 days
151701,Aditya Birla Sun Life Fixed Term Plan - Series UJ (1110 days) - Regular Plan - Payout of IDCW Option,aditya birla sun life fixed term plan - series uj (1110 days
151702,Aditya Birla Sun Life Fixed Term Plan - Series UJ (1110 days) - Direct Plan - Payout of IDCW Option,aditya birla sun life fixed term plan - series uj (1110 days
151703,Aditya Birla Sun Life Fixed Term Plan - Series UJ (1110 days) - Regular Plan - Growth Option,aditya birla sun life fixed term plan - series uj (1110 days
151862,HDFC Charity Fund for Cancer Cure - IDCW Option - Direct Plan - 50% IDCW Donation Option,hdfc charity fund for cancer cure - idcw option - direct pla
151864,HDFC Charity Fund for Cancer Cure - IDCW Option - Direct Plan - 75% IDCW Donation Option,hdfc charity fund for cancer cure - idcw option - direct pla
151909,Kotak Nifty Financial Services Ex-Bank Index Fund - Regular Plan - Growth option,kotak nifty financial services ex-bank index fund - regular
151910,Kotak Nifty Financial Services Ex-Bank Index Fund - Regular Plan - IDCW option,kotak nifty financial services ex-bank index fund - regular
151911,Kotak Nifty Financial Services Ex-Bank Index Fund - Direct Plan - Growth option,kotak nifty financial services ex-bank index fund - direct p
151912,Kotak Nifty Financial Services Ex-Bank Index Fund - Direct Plan - IDCW option,kotak nifty financial services ex-bank index fund - direct p
