scheme_code,scheme_name,normalized_underlying_name,AMC,plan_classification,classification_confidence,category,category_status,prediction_date,past_start_intended,past_start_actual,prediction_NAV_date,future_end_intended,future_end_actual,past_5y_CAGR,future_5y_CAGR,success_future_ge_12,identity_status,discontinuation_status,successor_scheme_code,window_status,source_file_ids,pred_yr
119827,SBI NIFTY INDEX FUND - DIRECT PLAN - GROWTH,nifty index fund,nifty,Direct Growth,high,Other,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,12.4237,14.7016,True,unverified,active,,complete,AMFI,2019
120154,Kotak Debt Hybrid - Growth - Direct,debt hybrid,debt,Direct Growth,high,Debt,current_category_proxy,2018-03-31,2013-03-31,2013-04-02,2018-03-28,2023-03-31,2023-03-31,11.334,9.9154,False,unverified,active,,complete,AMFI,2018
120154,Kotak Debt Hybrid - Growth - Direct,debt hybrid,debt,Direct Growth,high,Debt,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,11.0207,9.621,False,unverified,active,,complete,AMFI,2021
120186,ICICI Prudential US Bluechip Equity Fund - Direct Plan -  Growth,us bluechip equity fund,us,Direct Growth,high,Equity,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,12.3965,18.3534,True,unverified,active,,complete,AMFI,2019
120186,ICICI Prudential US Bluechip Equity Fund - Direct Plan -  Growth,us bluechip equity fund,us,Direct Growth,high,Equity,current_category_proxy,2020-03-31,2015-03-31,2015-03-31,2020-03-31,2025-03-31,2025-03-31,11.3041,16.8492,True,unverified,active,,complete,AMFI,2020
120242,ICICI Prudential Multi Sector Passive FOF - Direct Plan - Growth,multi sector passive fof,multi,Direct Growth,high,FoF/International,current_category_proxy,2018-03-31,2013-03-31,2013-04-01,2018-04-02,2023-03-31,2023-03-31,12.9174,10.9165,False,unverified,active,,complete,AMFI,2018
120242,ICICI Prudential Multi Sector Passive FOF - Direct Plan - Growth,multi sector passive fof,multi,Direct Growth,high,FoF/International,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,11.926,16.1554,True,unverified,active,,complete,AMFI,2019
120242,ICICI Prudential Multi Sector Passive FOF - Direct Plan - Growth,multi sector passive fof,multi,Direct Growth,high,FoF/International,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,12.4879,13.0716,True,unverified,active,,complete,AMFI,2021
120307,LIC MF Nifty 50 Index Fund-Direct Plan-Growth,nifty 50 index fund,nifty,Direct Growth,high,Other,current_category_proxy,2018-03-31,2013-03-31,2013-04-01,2018-04-02,2023-03-31,2023-03-31,12.6493,11.9435,False,unverified,active,,complete,AMFI,2018
120307,LIC MF Nifty 50 Index Fund-Direct Plan-Growth,nifty 50 index fund,nifty,Direct Growth,high,Other,current_category_proxy,2019-03-31,2014-03-31,2014-04-01,2019-04-01,2024-03-31,2024-03-31,11.9916,14.6476,True,unverified,active,,complete,AMFI,2019
120308,LIC MF BSE Sensex Index Fund-Direct Plan-Growth,bse sensex index fund,bse,Direct Growth,high,Other,current_category_proxy,2018-03-31,2013-03-31,2013-04-01,2018-04-02,2023-03-31,2023-03-31,12.2605,12.861,True,unverified,active,,complete,AMFI,2018
120308,LIC MF BSE Sensex Index Fund-Direct Plan-Growth,bse sensex index fund,bse,Direct Growth,high,Other,current_category_proxy,2019-03-31,2014-03-31,2014-04-01,2019-04-01,2024-03-31,2024-03-31,11.803,14.4929,True,unverified,active,,complete,AMFI,2019
120351,LIC MF Infrastructure Fund-Direct Plan-Growth,infrastructure fund,infrastructure,Direct Growth,high,Other,current_category_proxy,2019-03-31,2014-03-31,2014-04-01,2019-04-01,2024-03-31,2024-03-31,11.513,22.5239,True,unverified,active,,complete,AMFI,2019
120351,LIC MF Infrastructure Fund-Direct Plan-Growth,infrastructure fund,infrastructure,Direct Growth,high,Other,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,11.582,22.7083,True,unverified,active,,complete,AMFI,2021
120490,JM Large Cap Fund (Direct) - Growth Option,jm large cap fund,jm,Direct Growth,high,Equity,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-03-31,2024-03-31,2024-03-31,12.5381,17.7556,True,unverified,active,,complete,AMFI,2019
