scheme_code,last_nav_date
105427,2014-11-07
105428,2016-01-04
105429,2016-01-04
105435,2013-04-04
105461,2021-12-31
105497,2017-03-30
105498,2017-03-30
105544,2019-05-09
105545,2019-05-09
105546,2019-05-09
105547,2019-05-09
105549,2021-12-31
105550,2021-12-31
105551,2021-12-31
105552,2021-12-31
105553,2021-12-31
105554,2021-12-31
105555,2013-09-26
105556,2021-12-31
105557,2021-12-31
105558,2021-12-31
105559,2015-08-20
105560,2013-09-26
105561,2021-12-31
105562,2021-12-31
105563,2021-12-31
105564,2021-12-31
105565,2021-12-31
105566,2021-12-31
105582,2016-11-24
105583,2016-11-24
105598,2015-01-28
105600,2015-01-28
105602,2014-04-21
105614,2013-05-28
105619,2014-10-09
105620,2014-10-09
105636,2015-04-30
105638,2020-05-06
105650,2017-08-28
105651,2017-08-28
105654,2013-11-08
105664,2017-09-08
105665,2017-09-08
105666,2017-09-08
105672,2016-03-04
105690,2013-05-07
105691,2016-11-04
105710,2017-09-19
105711,2017-09-19
105759,2014-11-07
105761,2015-11-17
105762,2015-11-17
105871,2017-03-06
105872,2016-10-19
105873,2013-05-16
105874,2014-07-03
105876,2016-06-07
105877,2017-09-08
105883,2023-06-06
105904,2013-11-29
105907,2017-10-23
105908,2017-10-23
105973,2016-03-02
105974,2016-03-02
106035,2016-03-02
106036,2016-03-02
106058,2014-03-19
106099,2018-05-24
106100,2018-05-24
106101,2020-09-25
106102,2018-05-24
106103,2018-05-24
106104,2020-09-25
106123,2017-10-27
106128,2017-10-27
106129,2019-12-13
106130,2019-12-13
106131,2019-12-13
106132,2019-12-13
106133,2014-09-08
106134,2013-10-25
106135,2013-10-25
106136,2016-05-19
106141,2017-08-24
106142,2017-08-24
106145,2022-05-11
106146,2022-05-11
106173,2016-01-20
106174,2016-01-20
106176,2016-03-30
106178,2013-11-19
106184,2013-08-12
106224,2013-06-17
106238,2020-03-02
106252,2016-07-12
106253,2017-04-24
106255,2018-06-01
106256,2014-07-24
106258,2014-07-24
106290,2017-09-25
106291,2017-09-25
106292,2017-09-25
106293,2017-09-25
106324,2017-01-27
106325,2017-01-27
106326,2017-01-27
106327,2014-09-15
106329,2017-01-27
106330,2017-01-27
106337,2022-05-11
106338,2022-05-11
106339,2018-10-15
106340,2013-09-16
106365,2022-05-11
106366,2022-05-11
106367,2020-12-10
106368,2019-02-25
106414,2016-02-24
106461,2013-09-26
106467,2016-03-04
106468,2016-03-04
106470,2016-03-04
106471,2016-03-04
106472,2016-03-04
106481,2015-01-16
106482,2015-01-16
106501,2016-04-12
106502,2016-04-12
106503,2015-01-29
106504,2015-01-29
106506,2013-01-12
106507,2013-01-12
106508,2015-01-29
106509,2015-01-29
106510,2015-01-29
106511,2013-01-12
106513,2015-01-29
106514,2015-01-29
106518,2013-03-24
106519,2015-01-29
106520,2015-01-29
106521,2015-01-28
106522,2015-01-28
106523,2015-01-28
106524,2013-02-12
106525,2013-01-10
106526,2015-01-14
106527,2015-01-28
106528,2015-01-28
106530,2015-01-28
106531,2013-05-24
106533,2015-01-28
106534,2015-01-28
106535,2013-01-10
106537,2015-01-28
106538,2015-01-28
106549,2020-09-23
106550,2013-03-20
106553,2013-09-26
106554,2015-09-01
106555,2013-09-26
106556,2015-09-01
106561,2016-11-24
106562,2016-11-24
106563,2016-11-24
106564,2016-11-24
106661,2015-12-10
106662,2015-12-10
106667,2016-03-02
106668,2016-03-02
106669,2013-08-07
106670,2018-12-28
106671,2018-12-28
106692,2013-05-06
106693,2013-05-06
106700,2015-09-15
106701,2013-09-26
106702,2015-09-15
106703,2013-09-26
106709,2021-11-29
106734,2016-04-04
106735,2016-04-04
106736,2022-11-25
106737,2022-11-25
106738,2022-11-11
106739,2022-11-25
106741,2022-11-18
106744,2020-03-26
106745,2020-03-26
106760,2013-10-18
106761,2017-11-13
106762,2017-11-13
106763,2017-11-13
106770,2018-08-07
106777,2017-11-20
106778,2017-11-20
106779,2017-11-20
106780,2013-10-28
106794,2013-01-02
106821,2020-04-24
106828,2017-09-04
106829,2017-09-04
106830,2014-11-14
106831,2017-12-04
106832,2017-12-04
106833,2017-12-04
106842,2021-09-17
106852,2016-11-21
106853,2016-11-21
106867,2015-09-24
106868,2015-09-24
106881,2016-03-02
106882,2016-03-02
106885,2017-09-13
106886,2017-09-13
106891,2017-05-19
106892,2017-05-19
106976,2017-09-22
106977,2017-09-22
106999,2015-08-06
107000,2015-08-06
107001,2013-09-26
107002,2013-09-26
107015,2016-11-04
107070,2022-05-11
107071,2022-05-11
107088,2022-05-11
107089,2022-05-11
107092,2016-04-04
107093,2016-04-04
107119,2013-10-25
107120,2013-10-25
107121,2015-01-02
107122,2015-01-02
107123,2013-12-02
107124,2015-01-02
107125,2015-01-02
107126,2015-01-02
107127,2015-11-17
107128,2015-11-17
107129,2015-11-17
107130,2015-11-17
107138,2017-10-06
107139,2017-10-06
107141,2015-11-17
107142,2014-11-27
107143,2015-11-17
107144,2015-11-17
107145,2015-06-02
