request_start_date,request_end_date,attempt_count,HTTP_status,content_type,download_status,raw_file_path,SHA256_checksum,raw_row_count,parsed_row_count,minimum_parsed_date,maximum_parsed_date,failure_reason
2020-08-22,2020-11-19,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2020/2020-08-22_to_2020-11-19.txt,fe83849ae0ae238a2d24e218c149d5873f381547949519ed3434f630e9468c40,597969,596089,2020-08-22,2020-11-19,
2020-11-20,2021-02-17,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2020/2020-11-20_to_2021-02-17.txt,d5e04dc072189dfdf8489c8944d7379dbf3dbd99faf9263a0763aa9c2d0587b5,590285,588401,2020-11-20,2021-02-17,
2021-02-18,2021-05-18,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2021/2021-02-18_to_2021-05-18.txt,ebbf204d4ecb0fb288b079bb70758d1955c494cb19bf2bb4204bc6e646cd5f3f,540520,538619,2021-02-18,2021-05-18,
2021-05-19,2021-08-16,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2021/2021-05-19_to_2021-08-16.txt,d8bc3905c108b814e15e8c3fa8cd6dd512420189b2badcc2adaab20bfeb382a6,544739,542821,2021-05-19,2021-08-16,
2021-08-17,2021-11-14,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2021/2021-08-17_to_2021-11-14.txt,d09945166de380d668cff12fb8ed2e8029e0f7b29374957c521a0d8f1113edbc,493548,491608,2021-08-17,2021-11-14,
2021-11-15,2022-02-12,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2021/2021-11-15_to_2022-02-12.txt,938e303ac9c0900213a46b1f80d4effb4da34d773dc48bfa0e8e1ddd66e8e14c,514114,512157,2021-11-15,2022-02-12,
2022-02-13,2022-05-13,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2022/2022-02-13_to_2022-05-13.txt,11f8f07e6317733502279a3369160976757ec4b189579acc07ddbfabb6bf7315,481071,479135,2022-02-13,2022-05-13,
2022-05-14,2022-08-11,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2022/2022-05-14_to_2022-08-11.txt,39ec6cf1dcc090d62cd396b4b9d6f73fb9ef82efbb1dac03ee72a00470d6783d,454839,452941,2022-05-14,2022-08-11,
2022-08-12,2022-11-09,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2022/2022-08-12_to_2022-11-09.txt,86cbf632df82217847434dad551c78a374b7d03365140bf15fdfeea504720c5e,421617,419694,2022-08-12,2022-11-09,
2022-11-10,2023-02-07,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2022/2022-11-10_to_2023-02-07.txt,f5fee6d8ad01a56258b5c5d41aef0fe02f75820c158fa3e18d84abd19d95de6d,460851,458874,2022-11-10,2023-02-07,
2023-02-08,2023-05-08,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2023/2023-02-08_to_2023-05-08.txt,39d372620bd7917567d8b9e98b5fef641026fd6c490fd92e5d04c031db22a87b,436835,434885,2023-02-08,2023-05-08,
2023-05-09,2023-08-06,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2023/2023-05-09_to_2023-08-06.txt,e3b8b94f386b45104cddafc1df0864af89adede2371059960d61e892e84fcbc9,475026,473038,2023-05-09,2023-08-06,
2023-08-07,2023-11-04,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2023/2023-08-07_to_2023-11-04.txt,89c51178dfdeee450b0f134b05e2774c11d649070a75ffc64a55b60c3cfc6912,452561,450565,2023-08-07,2023-11-04,
2023-11-05,2024-02-02,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2023/2023-11-05_to_2024-02-02.txt,6f8f9629aaa7703fc192a8c7fe03edff08d5036cebd3bef6c94b51cabe455694,460522,458504,2023-11-05,2024-02-02,
2024-02-03,2024-05-02,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2024/2024-02-03_to_2024-05-02.txt,9c74d27d98049ba472cdf493c7900b67b5c38039a5f90f4504d667fbfb18a2ba,454272,452225,2024-02-03,2024-05-02,
2024-05-03,2024-07-31,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2024/2024-05-03_to_2024-07-31.txt,9b19d2916a08a8fd3aed074f8c6036e1e6877d29f0adcc2eb24b8cf8943e1af2,481121,479058,2024-05-03,2024-07-31,
2024-08-01,2024-10-29,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2024/2024-08-01_to_2024-10-29.txt,ab79809c259e7951b47e2f8ce5918f0612547e3e13447b66d37197eeff6b99cb,495962,493875,2024-08-01,2024-10-29,
2024-10-30,2025-01-27,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2024/2024-10-30_to_2025-01-27.txt,99768fb5a123ef0bec4d57471b22d99796cb085cbef37875fb66b17f55b2e27b,496998,494881,2024-10-30,2025-01-27,
2025-01-28,2025-04-27,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2025/2025-01-28_to_2025-04-27.txt,966d99bcd3f73a81906b3dae99f09e51f4e9d677921938cb26e581f27d0ae19e,493503,491350,2025-01-28,2025-04-27,
2025-04-28,2025-07-26,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2025/2025-04-28_to_2025-07-26.txt,bc9840221c12748f991ca899e6b1c61c1ef6e36eb454519f9e641e45afabc0b3,539986,537810,2025-04-28,2025-07-26,
2025-07-27,2025-10-24,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2025/2025-07-27_to_2025-10-24.txt,624309e0394140f9da1a4e7fad7d3783c9d79216bba450a3f3dafd66d165e5da,521621,519413,2025-07-27,2025-10-24,
2025-10-25,2026-01-22,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2025/2025-10-25_to_2026-01-22.txt,df2aeef6930a70ed9001c132659e27460ff71ec3823c3ec8eeb4df05c0aa721b,541145,538905,2025-10-25,2026-01-22,
2026-01-23,2026-04-22,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2026/2026-01-23_to_2026-04-22.txt,bdf0c0d93f34cc460c5dbf869a7fb5500650e82ba75a0bab570fd6aca48adf9e,527310,525032,2026-01-23,2026-04-22,
2026-04-23,2026-07-14,0,200,text/plain,cached,/Users/kirannarendran/Desktop/AntigravityTest/MfApp/mf_5y_persistence/data/raw/amfi/2026/2026-04-23_to_2026-07-11.txt,02f5816d7a696760ecd4f1b69702eacf8378552cc1bf5978b143a9ee959b7c2c,483384,481097,2026-04-23,2026-07-11,
